BenefitID,EmployeeID,BenefitType,StartDate,EndDate,CostToCompany,ContributionByEmployee
2f55151e-ca98-461c-a980-1ee32dfc2dfc,907809f3-6690-4502-a9b3-d5a275b4bd03,Gym Membership,2022-07-08,2024-07-19,1479,282
5608b5f3-8e4e-4074-a6c5-c4393955eb57,5efe0883-5293-4f37-bb4c-e7f9d20013f5,Retirement Plan,2020-01-25,2024-08-09,1098,640
f9e53f72-fb17-45a5-972b-148dcc3ee878,3c03dbc4-135c-463f-ae0d-dd6532ba4751,Health Insurance,2022-07-11,2024-01-25,4786,433
a451c767-1a26-4ae5-8460-53f6b37c91f8,7da27e35-0ee9-4b9c-a19c-2dc502589bf2,Gym Membership,2021-05-31,2024-11-13,4013,612
70f608df-1e7b-4323-becf-8b57c7265122,7bd134ee-3438-4a3f-86eb-84439571eec4,Gym Membership,2022-09-21,2024-04-07,1016,744
562a6a26-0c39-4cd4-b50c-ea092e7f183c,8f215eca-3adc-4475-90c6-b8b218baa6a7,Retirement Plan,2021-06-18,2024-11-19,2584,470
d6b3ae85-da74-40b7-bce0-efe1a30234c7,0cb5aad2-5cd7-4a10-99d5-513521bdec25,Retirement Plan,2022-08-12,2024-02-21,4872,437
4929cb6e-3690-4d0c-99d4-53eb37c1d559,392ebd35-6c0c-4485-b2c1-512817c7776d,Retirement Plan,2020-05-14,2024-05-19,4064,394
43f269dd-82ab-456f-9ffe-a95d1773442c,bb620f52-02c9-495c-9fb0-412ca60e7208,Gym Membership,2022-06-25,2024-05-23,3401,841
fac4b6a9-495d-4674-ab73-748f230b1b32,9d372470-a9c6-40d6-a858-4e905a154e15,Health Insurance,2020-12-15,2024-03-10,4285,369
4a3b5e17-a94b-41d9-8083-4c13c53c72a8,bb620f52-02c9-495c-9fb0-412ca60e7208,Retirement Plan,2023-07-08,2024-08-31,2378,932
f573131c-4281-49d8-be5e-669c2b89a752,aa6d99c4-20bd-4766-97ab-aa525bac5843,Health Insurance,2021-03-29,2024-05-16,1931,512
3cb76303-4082-41f4-8d20-a7757c36099e,72975ecb-f27a-4fb4-966a-8752d5714e61,Retirement Plan,2023-08-29,2024-05-28,3597,444
