DepartmentID,DepartmentName,ManagerID,Budget,Location,EstablishedDate
1,Streamline real-time e-tailers,ed790d8f-b68c-4409-a5de-a9d24818f896,100762,West Monica,2010-02-08
2,Re-intermediate 24/7 interfaces,9c8a11ca-c779-4b93-817b-0093aec8b4dd,274588,Lake Sheilatown,2006-09-13
3,Syndicate visionary initiatives,1cb03b05-ff28-4c67-89a5-68c980d51208,282820,West Katherineborough,2006-05-25
4,Empower proactive supply-chains,a66de834-9fd4-49b1-b710-1f1fda1b69d3,198093,Port Sarahhaven,2011-08-21
5,Whiteboard strategic e-services,f1d360f1-7f08-4ed6-8d50-e9884530abc8,416092,Rebeccaland,2007-09-21
6,Visualize enterprise metrics,fc3fae01-eba9-433d-8344-5c157bd1080d,387097,Paulaborough,2013-04-05
7,Integrate robust partnerships,1fffad3e-e28d-49a0-b644-d777460142a0,321070,North Mary,2009-09-22
8,Brand mission-critical interfaces,e7ff3224-8145-4965-8a81-37190a6d9c40,464788,Suzanneshire,2005-04-14
9,Syndicate killer infrastructures,88478ade-4519-4781-9f79-94b6663f7d67,478190,North Sandraberg,2010-01-09
10,Incentivize enterprise relationships,f4806e82-6bf9-4e5c-8893-a33539451c71,236080,Port Nicholasview,2012-09-27
